Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
Issiaga Camara,19.0,Guinea,Midfielder,Nice,Ligue 1,4,0,0
Lamine Camara,20.0,Senegal,Midfielder,Monaco,Ligue 1,29,2,7
Mahdi Camara,26.0,France,"Midfielder, Forward",Brest,Ligue 1,34,5,3
Ousmane Camara,21.0,France,Defender,Angers,Ligue 1,3,0,0
Francesco Camarda,16.0,Italy,"Forward, Midfielder",Milan,Serie A,10,0,0
Eduardo Camavinga,21.0,France,"Midfielder, Defender",Real Madrid,La Liga,19,1,2
Nicolò Cambiaghi,23.0,Italy,Forward,Bologna,Serie A,18,1,3
Andrea Cambiaso,24.0,Italy,"Defender, Forward",Juventus,Serie A,33,2,3
Axel Camblan,20.0,France,"Midfielder, Forward",Brest,Ligue 1,2,0,0
Sergio Camello,23.0,Spain,Forward,Rayo Vallecano,La Liga,23,3,2
José Campaña,31.0,Spain,Midfielder,Las Palmas,La Liga,25,0,3
Thomas Campaniello,16.0,Italy,Forward,Empoli,Serie A,3,0,0
Cole Campbell,18.0,United States,"Midfielder, Forward",Dortmund,Bundesliga,4,0,0
Emre Can,30.0,Germany,"Defender, Midfielder",Dortmund,Bundesliga,31,3,0
Peio Canales,19.0,Spain,"Midfielder, Forward",Athletic Club,La Liga,8,0,0
Matteo Cancellieri,22.0,Italy,"Forward, Midfielder",Parma,Serie A,27,3,0
Fali Candé,26.0,Guinea-Bissau,Defender,Venezia,Serie A,17,1,1
Antonio Candela,24.0,Italy,Defender,Valladolid,La Liga,12,0,0
Sergi Canós,27.0,Spain,"Midfielder, Forward",Valencia,La Liga,17,0,1
Jaydee Canvot,18.0,France,"Defender, Midfielder",Toulouse,Ligue 1,18,0,0
Pierrick Capelle,37.0,France,Midfielder,Angers,Ligue 1,16,0,0
Gianluca Caprari,31.0,Italy,"Midfielder, Forward",Monza,Serie A,34,3,2
Elia Caprile,22.0,Italy,Goalkeeper,Napoli,Serie A,4,0,0
Gabin Capuano,18.0,France,Forward,Lens,Ligue 1,1,0,0
Francesco Caputo,36.0,Italy,Forward,Empoli,Serie A,1,0,0
Maxence Caqueret,24.0,France,Midfielder,Lyon,Ligue 1,9,0,0
Simon Cara,19.0,France,"Midfielder, Forward",Montpellier,Ligue 1,2,0,0
Andrea Carboni,23.0,Italy,Defender,Monza,Serie A,26,0,1
Franco Carboni,21.0,Italy,Defender,Venezia,Serie A,8,0,0
Valentin Carboni,19.0,Argentina,"Midfielder, Forward",Marseille,Ligue 1,4,0,0
Dani Cárdenas,27.0,Spain,Goalkeeper,Rayo Vallecano,La Liga,6,0,0
Irvin Cardona,26.0,France,Forward,Saint-Étienne,Ligue 1,15,5,3
Marc Cardona,29.0,Spain,"Forward, Defender",Las Palmas,La Liga,11,0,0
Sergi Cardona,25.0,Spain,Defender,Villarreal,La Liga,35,1,7
Johnny Cardoso,22.0,United States,Midfielder,Betis,La Liga,28,3,1
Tiago Cardoso,18.0,Luxembourg,Goalkeeper,Gladbach,Bundesliga,5,0,0
Patrik Carlgren,32.0,Sweden,Goalkeeper,Nantes,Ligue 1,5,0,0
Diego Carlos,31.0,Brazil,Defender,Aston Villa,Premier League,10,0,0
José Carlos González,18.0,Spain,Defender,Las Palmas,La Liga,1,0,0
Carmona,22.0,Spain,Defender,Sevilla,La Liga,35,0,0
Marco Carnesecchi,24.0,Italy,Goalkeeper,Atalanta,Serie A,34,0,0
Sergio Carreira,23.0,Spain,"Midfielder, Defender",Celta Vigo,La Liga,23,0,4
Dani Carvajal,32.0,Spain,Defender,Real Madrid,La Liga,8,1,0
Fabio Carvalho,21.0,Portugal,"Forward, Midfielder",Brentford,Premier League,19,2,1
William Carvalho,32.0,Portugal,Midfielder,Betis,La Liga,14,0,0
Cesare Casadei,21.0,Italy,Midfielder,Torino,Serie A,15,1,1
Marc Casado,20.0,Spain,Midfielder,Barcelona,La Liga,23,1,3
Nicolò Casale,26.0,Italy,Defender,Lazio,Serie A,2,0,0
Casemiro,32.0,Brazil,Midfielder,Manchester Utd,Premier League,24,1,0
Kaelan Casey,19.0,England,Defender,West Ham,Premier League,1,0,0
Matty Cash,26.0,Poland,Defender,Aston Villa,Premier League,27,1,1
Eiran Cashin,22.0,Ireland,Defender,Brighton,Premier League,2,0,0
Josué Casimir,22.0,France,"Forward, Midfielder",Le Havre,Ligue 1,27,4,4
Federico Cassa,18.0,Italy,"Midfielder, Forward",Atalanta,Serie A,2,0,0
Cristian Cásseres Jr.,24.0,"Venezuela, Bolivarian Republic of",Midfielder,Toulouse,Ligue 1,32,1,3
Timothy Castagne,28.0,Belgium,Defender,Fulham,Premier League,24,0,1
Valentín Castellanos,25.0,Argentina,Forward,Lazio,Serie A,29,10,3
Jean-Charles Castelletto,29.0,Cameroon,"Defender, Midfielder",Nantes,Ligue 1,30,0,0
Santiago Castro,19.0,Argentina,Forward,Bologna,Serie A,36,8,4
Gaetano Castrovilli,27.0,Italy,"Midfielder, Forward",Lazio,Serie A,9,0,0
Danilo Cataldi,29.0,Italy,Midfielder,Fiorentina,Serie A,25,3,0
Catena,29.0,Spain,Defender,Osasuna,La Liga,35,1,3
Maximiliano Caufriez,27.0,Belgium,Defender,Valencia,La Liga,1,0,0
Enzo Caumont,20.0,France,Midfielder,Angers,Ligue 1,2,0,0
Dani Ceballos,27.0,Spain,Midfielder,Real Madrid,La Liga,23,0,0
Abdoulie Ceesay,20.0,Gambia,Forward,St. Pauli,Bundesliga,7,0,0
