Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
Andreas Albers,34.0,dk DEN,FW,St. Pauli,de Bundesliga,14,1,0
Raúl Albiol,38.0,es ESP,DF,Villarreal,es La Liga,15,0,0
Carlos Alcaraz,21.0,ar ARG,MF,Southampton,eng Premier League,1,0,0
Carlos Alcaraz,21.0,ar ARG,"FW,MF",Everton,eng Premier League,15,2,3
Omar Alderete,27.0,py PAR,DF,Getafe,es La Liga,34,1,0
Carles Aleñá,26.0,es ESP,"MF,FW",Getafe,es La Liga,10,0,0
Carles Aleñá,26.0,es ESP,"MF,FW",Alavés,es La Liga,14,0,2
Ben Alexander Voll,23.0,de GER,GK,St. Pauli,de Bundesliga,2,0,0
Trent Alexander-Arnold,25.0,eng ENG,DF,Liverpool,eng Premier League,33,3,6
Alfon,25.0,es ESP,"FW,MF",Celta Vigo,es La Liga,26,5,2
Mohamed Ali Cho,20.0,fr FRA,"FW,MF",Nice,fr Ligue 1,27,3,4
Faride Alidou,23.0,de GER,"FW,MF",Hellas Verona,it Serie A,3,0,0
Alisson,31.0,br BRA,GK,Liverpool,eng Premier League,28,0,0
Tadeo Allende,25.0,ar ARG,FW,Celta Vigo,es La Liga,1,0,0
Jim Allevinah,29.0,ga GAB,FW,Angers,fr Ligue 1,28,1,3
Dele Alli,28.0,eng ENG,MF,Como,it Serie A,1,0,0
Thiago Almada,23.0,ar ARG,"MF,FW",Lyon,fr Ligue 1,16,1,4
Domingos André Ribeiro Almeida,24.0,pt POR,"MF,FW",Valencia,es La Liga,34,0,4
Iker Almena,20.0,es ESP,"FW,DF",Girona,es La Liga,2,0,1
Miguel Almirón,30.0,py PAR,FW,Newcastle Utd,eng Premier League,9,0,0
Pontus Almqvist,25.0,se SWE,"FW,MF",Parma,it Serie A,29,1,1
Marcos Alonso,33.0,es ESP,DF,Celta Vigo,es La Liga,31,3,0
Giorgio Altare,25.0,it ITA,DF,Venezia,it Serie A,12,0,0
Adrià Altimira,23.0,es ESP,"DF,FW",Leganés,es La Liga,22,0,0
Sergi Altimira,22.0,es ESP,MF,Betis,es La Liga,32,0,1
Olabade Aluko,,,DF,Leicester City,eng Premier League,1,0,0
Edson Álvarez,26.0,mx MEX,MF,West Ham,eng Premier League,28,0,1
Hugo Álvarez,21.0,es ESP,"MF,DF",Celta Vigo,es La Liga,26,4,3
Julián Álvarez,24.0,ar ARG,FW,Atlético Madrid,es La Liga,37,17,4
Yeray Álvarez,29.0,es ESP,DF,Athletic Club,es La Liga,21,1,0
Skelly Alvero,22.0,fr FRA,MF,Werder Bremen,de Bundesliga,12,0,0
Will Alves,19.0,eng ENG,FW,Leicester City,eng Premier League,1,0,0
Selim Amallah,27.0,ma MAR,MF,Valladolid,es La Liga,24,3,1
Harry Amass,17.0,eng ENG,DF,Manchester Utd,eng Premier League,5,0,0
Amath,28.0,sn SEN,"FW,DF",Valladolid,es La Liga,13,0,1
Jordan Amavi,30.0,fr FRA,DF,Brest,fr Ligue 1,11,0,0
Aurele Amenda,21.0,ch SUI,DF,Eint Frankfurt,de Bundesliga,8,0,0
Kelvin Amian,26.0,fr FRA,DF,Nantes,fr Ligue 1,30,1,0
Michael Amir Murillo,28.0,pa PAN,DF,Marseille,fr Ligue 1,30,1,3
Nadiem Amiri,27.0,de GER,MF,Mainz 05,de Bundesliga,30,7,5
Samuel Amo-Ameyaw,18.0,eng ENG,"FW,DF",Southampton,eng Premier League,2,0,0
Samuel Amo-Ameyaw,18.0,eng ENG,"DF,MF",Strasbourg,fr Ligue 1,9,2,0
Mathis Amougou,18.0,fr FRA,MF,Chelsea,eng Premier League,1,0,0
Mathis Amougou,18.0,fr FRA,MF,Saint-Étienne,fr Ligue 1,17,0,0
Mohamed Amoura,24.0,dz ALG,FW,Wolfsburg,de Bundesliga,31,10,9
Sofyan Amrabat,27.0,ma MAR,MF,Fiorentina,it Serie A,2,0,0
Joachim Andersen,28.0,dk DEN,DF,Crystal Palace,eng Premier League,1,0,0
Joachim Andersen,28.0,dk DEN,DF,Fulham,eng Premier League,29,0,0
Elliot Anderson,21.0,eng ENG,MF,Nott'ham Forest,eng Premier League,37,2,6
André,23.0,br BRA,MF,Wolves,eng Premier League,33,0,0
Benjamin André,33.0,fr FRA,MF,Lille,fr Ligue 1,30,0,3
Marcos André,27.0,br BRA,FW,Valladolid,es La Liga,22,1,2
Robert Andrich,29.0,de GER,"MF,DF",Leverkusen,de Bundesliga,23,2,2
Angeliño,27.0,es ESP,DF,Roma,it Serie A,38,2,1
Lorenzo Anghelè,19.0,it ITA,FW,Juventus,it Serie A,1,0,0
Faustino Anjorin,22.0,eng ENG,MF,Empoli,it Serie A,22,2,3
Waldemar Anton,28.0,de GER,DF,Dortmund,de Bundesliga,26,2,2
Leandro Antonetti,21.0,pr PUR,FW,Sevilla,es La Liga,2,0,0
Kyllian Antonio,16.0,fr FRA,"DF,MF",Lens,fr Ligue 1,3,0,0
Michail Antonio,34.0,jm JAM,FW,West Ham,eng Premier League,14,1,1
Antoniu,21.0,es ESP,"FW,MF",Espanyol,es La Liga,26,0,1
Antony,24.0,br BRA,"DF,MF",Manchester Utd,eng Premier League,8,0,0
Antony,24.0,br BRA,FW,Betis,es La Liga,17,5,2
Anuar,29.0,ma MAR,"MF,FW",Valladolid,es La Liga,26,2,0
Dennis Appiah,32.0,fr FRA,DF,Saint-Étienne,fr Ligue 1,29,0,1
Aritz Arambarri,26.0,es ESP,DF,Leganés,es La Liga,2,0,0
Mauro Arambarri,28.0,uy URU,MF,Getafe,es La Liga,35,10,0
Jon Aramburu,22.0,ve VEN,DF,Real Sociedad,es La Liga,35,1,1
Julian Araujo,22.0,mx MEX,DF,Bournemouth,eng Premier League,12,0,0
Ronald Araújo,25.0,uy URU,DF,Barcelona,es La Liga,12,1,1
Cameron Archer,23.0,eng ENG,FW,Southampton,eng Premier League,35,2,0
Carlens Arcus,28.0,ht HAI,DF,Angers,fr Ligue 1,28,0,1
Alphonse Areola,31.0,fr FRA,GK,West Ham,eng Premier League,26,0,0
Adu Ares,22.0,es ESP,FW,Athletic Club,es La Liga,1,0,0
Jesús Areso,25.0,es ESP,DF,Osasuna,es La Liga,36,0,3
David Argüelles,22.0,es ESP,MF,Getafe,es La Liga,1,0,0
Joe Aribo,28.0,ng NGA,"MF,DF",Southampton,eng Premier League,32,3,0
Adam Armstrong,27.0,eng ENG,"FW,MF",Southampton,eng Premier League,20,2,2
Harrison Armstrong,17.0,eng ENG,MF,Everton,eng Premier League,3,0,0
José Arnaiz,29.0,es ESP,"FW,MF",Osasuna,es La Liga,15,0,0
Hákon Arnar Haraldsson,21.0,is ISL,"MF,FW",Lille,fr Ligue 1,25,5,3
Marko Arnautović,35.0,at AUT,FW,Inter,it Serie A,18,4,2
Maximilian Arnold,30.0,de GER,MF,Wolfsburg,de Bundesliga,28,3,5
Jann-Fiete Arp,24.0,de GER,"FW,MF",Holstein Kiel,de Bundesliga,23,2,0
Sergio Arribas,21.0,es ESP,DF,Betis,es La Liga,1,0,0
